"speaker","count","Exact_age","Age_range","Gender","total","age_bins"
"S0001",6,32,"30-39","Female",3000,"30-39"
"S0002",21,NA,"19-29","Female",8535,"20-29"
"S0003",8,NA,"19-29","Female",1893,"20-29"
"S0004",1,NA,"30-39","Male",3634,"30-39"
"S0005",3,NA,"80-89","Female",1449,"70+"
"S0006",1,NA,"80-89","Male",4804,"70+"
"S0007",6,NA,"19-29","Male",11276,"20-29"
"S0008",101,66,"60-69","Male",139888,"60-69"
"S0009",0,NA,"19-29","Female",533,"20-29"
"S0010",7,NA,"30-39","Male",3105,"30-39"
"S0011",0,NA,"19-29","Female",473,"20-29"
"S0012",69,70,"70-79","Male",277953,"70+"
"S0013",163,63,"60-69","Female",127773,"60-69"
"S0014",15,NA,"30-39","Female",5487,"30-39"
"S0015",21,68,"60-69","Female",29651,"60-69"
"S0016",1,NA,"19-29","Female",605,"20-29"
"S0017",4,NA,"70-79","Male",7377,"70+"
"S0018",183,NA,"30-39","Female",107906,"30-39"
"S0019",19,NA,"60-69","Female",23328,"60-69"
"S0020",1,NA,"30-39","Male",885,"30-39"
"S0021",21,27,"19-29","Female",8209,"20-29"
"S0022",4,NA,"30-39","Female",7163,"30-39"
"S0023",12,NA,"40-49","Male",6704,"40-49"
"S0024",127,36,"30-39","Female",181562,"30-39"
"S0025",8,NA,"30-39","Female",5618,"30-39"
"S0026",39,23,"19-29","Male",13449,"20-29"
"S0027",2,NA,"40-49","Male",1856,"40-49"
"S0028",1,NA,"19-29","Female",417,"20-29"
"S0029",0,NA,"19-29","Female",304,"20-29"
"S0030",20,NA,"40-49","Female",2622,"40-49"
"S0031",0,NA,"19-29","Male",928,"20-29"
"S0032",8,28,"19-29","Male",6867,"20-29"
"S0033",1,NA,"19-29","Male",6499,"20-29"
"S0034",14,29,"19-29","Male",4974,"20-29"
"S0035",9,NA,"30-39","Female",2101,"30-39"
"S0036",16,NA,"40-49","Female",11169,"40-49"
"S0037",112,NA,"19-29","Female",108664,"20-29"
"S0038",12,NA,"50-59","Male",6147,"50-59"
"S0039",0,NA,"30-39","Male",228,"30-39"
"S0040",3,33,"30-39","Male",4154,"30-39"
"S0041",314,NA,"19-29","Female",208025,"20-29"
"S0042",0,NA,"19-29","Female",372,"20-29"
"S0043",2,NA,"40-49","Female",2453,"40-49"
"S0044",1,NA,"19-29","Female",829,"20-29"
"S0045",2,NA,"19-29","Male",228,"20-29"
"S0046",18,NA,"19-29","Male",17404,"20-29"
"S0047",14,NA,"60-69","Male",9570,"60-69"
"S0048",0,NA,"40-49","Female",541,"40-49"
"S0049",5,NA,"19-29","Female",14159,"20-29"
"S0050",5,29,"19-29","Female",7233,"20-29"
"S0051",0,NA,"19-29","Male",624,"20-29"
"S0052",4,32,"30-39","Female",2223,"30-39"
"S0053",0,NA,"19-29","Female",117,"20-29"
"S0054",12,NA,"19-29","Male",5753,"20-29"
"S0055",0,NA,"19-29","Female",1312,"20-29"
"S0056",3,59,"50-59","Male",1108,"50-59"
"S0057",7,21,"19-29","Female",4034,"20-29"
"S0058",331,23,"19-29","Female",144725,"20-29"
"S0059",0,27,"19-29","Female",1066,"20-29"
"S0060",24,NA,"30-39","Male",15944,"30-39"
"S0061",1,NA,"19-29","Male",982,"20-29"
"S0062",8,NA,"30-39","Male",2588,"30-39"
"S0063",2,NA,"40-49","Male",2682,"40-49"
"S0064",3,NA,"19-29","Female",1387,"20-29"
"S0065",4,NA,"30-39","Female",2176,"30-39"
"S0066",0,NA,"40-49","Male",28,"40-49"
"S0067",0,NA,"40-49","Male",621,"40-49"
"S0068",0,NA,"40-49","Male",2250,"40-49"
"S0069",1,NA,"19-29","Female",574,"20-29"
"S0070",12,44,"40-49","Male",18168,"40-49"
"S0071",1,39,"30-39","Female",1301,"30-39"
"S0072",2,NA,"19-29","Male",2618,"20-29"
"S0073",10,NA,"30-39","Male",6934,"30-39"
"S0074",9,NA,"60-69","Female",8582,"60-69"
"S0075",9,NA,"40-49","Male",2610,"40-49"
"S0076",3,NA,"19-29","Female",1353,"20-29"
"S0077",0,NA,"19-29","Female",867,"20-29"
"S0078",3,NA,"19-29","Male",3389,"20-29"
"S0079",6,35,"30-39","Male",1215,"30-39"
"S0080",2,NA,"19-29","Male",1079,"20-29"
"S0081",1,NA,"30-39","Male",1740,"30-39"
"S0082",29,NA,"60-69","Male",22995,"60-69"
"S0083",76,NA,"60-69","Female",44214,"60-69"
"S0084",533,NA,"19-29","Female",276558,"20-29"
"S0085",2,NA,"19-29","Female",2835,"20-29"
"S0086",108,NA,"19-29","Male",49319,"20-29"
"S0087",1,40,"40-49","Male",1393,"40-49"
"S0088",2,NA,"40-49","Female",1738,"40-49"
"S0089",0,NA,"19-29","Male",1653,"20-29"
"S0090",0,NA,"19-29","Female",1975,"20-29"
"S0091",1,90,"90-99","Male",2084,"70+"
"S0092",2,NA,"50-59","Male",11098,"50-59"
"S0093",55,NA,"40-49","Male",14482,"40-49"
"S0094",20,33,"30-39","Female",10851,"30-39"
"S0095",4,33,"30-39","Male",4800,"30-39"
"S0096",5,NA,"30-39","Female",2261,"30-39"
"S0097",5,NA,"30-39","Male",4159,"30-39"
"S0098",4,NA,"19-29","Male",808,"20-29"
"S0099",3,NA,"19-29","Male",861,"20-29"
"S0100",2,NA,"19-29","Female",1135,"20-29"
"S0101",0,NA,"19-29","Male",1254,"20-29"
"S0102",0,NA,"11-18","Male",968,"10-19"
"S0103",1,NA,"70-79","Male",7029,"70+"
"S0104",67,49,"40-49","Female",56732,"40-49"
"S0105",2,35,"30-39","Male",917,"30-39"
"S0106",2,26,"19-29","Male",911,"20-29"
"S0107",2,59,"50-59","Male",279,"50-59"
"S0108",2,21,"19-29","Female",2956,"20-29"
"S0109",17,27,"19-29","Female",8152,"20-29"
"S0110",4,57,"50-59","Male",8362,"50-59"
"S0113",0,NA,"19-29","Male",750,"20-29"
"S0114",3,NA,"70-79","Female",2497,"70+"
"S0115",298,NA,"30-39","Male",111897,"30-39"
"S0116",0,NA,"19-29","Female",1425,"20-29"
"S0117",1,NA,"19-29","Female",378,"20-29"
"S0118",1,NA,"30-39","Male",1067,"30-39"
"S0119",18,NA,"19-29","Male",5117,"20-29"
"S0120",29,23,"19-29","Male",15668,"20-29"
"S0121",0,NA,"19-29","Female",61,"20-29"
"S0122",0,NA,"19-29","Male",1176,"20-29"
"S0123",14,30,"19-29","Male",8757,"30-39"
"S0124",0,NA,"19-29","Female",72,"20-29"
"S0125",5,NA,"30-39","Female",3972,"30-39"
"S0126",1,NA,"60-69","Female",1042,"60-69"
"S0127",8,24,"19-29","Male",2393,"20-29"
"S0128",1,NA,"19-29","Male",949,"20-29"
"S0129",2,NA,"30-39","Male",2630,"30-39"
"S0130",8,NA,"19-29","Male",1912,"20-29"
"S0131",90,NA,"50-59","Female",12671,"50-59"
"S0132",9,NA,"19-29","Female",3256,"20-29"
"S0133",2,NA,"19-29","Female",1825,"20-29"
"S0134",5,NA,"19-29","Female",1138,"20-29"
"S0135",23,NA,"19-29","Female",16145,"20-29"
"S0136",18,NA,"19-29","Female",3627,"20-29"
"S0137",0,NA,"19-29","Male",699,"20-29"
"S0138",7,NA,"50-59","Male",3706,"50-59"
"S0139",0,NA,"19-29","Female",2192,"20-29"
"S0140",5,NA,"11-18","Female",3121,"10-19"
"S0141",0,35,"30-39","Female",1706,"30-39"
"S0142",2,NA,"60-69","Male",14811,"60-69"
"S0143",1,NA,"60-69","Female",2073,"60-69"
"S0144",119,36,"30-39","Male",144222,"30-39"
"S0145",6,24,"19-29","Female",2049,"20-29"
"S0146",80,NA,"30-39","Female",18077,"30-39"
"S0147",7,NA,"50-59","Female",2490,"50-59"
"S0148",2,23,"19-29","Female",1334,"20-29"
"S0149",4,25,"19-29","Female",2531,"20-29"
"S0150",4,NA,"50-59","Female",863,"50-59"
"S0151",23,NA,"19-29","Male",4509,"20-29"
"S0152",84,52,"50-59","Male",128107,"50-59"
"S0153",6,16,"11-18","Female",8406,"10-19"
"S0154",25,14,"11-18","Female",15715,"10-19"
"S0155",1,42,"40-49","Male",1275,"40-49"
"S0156",0,NA,"19-29","Female",122,"20-29"
"S0157",9,NA,"19-29","Female",3314,"20-29"
"S0158",5,NA,"50-59","Male",2731,"50-59"
"S0159",0,NA,"19-29","Male",497,"20-29"
"S0160",0,NA,"19-29","Female",373,"20-29"
"S0161",6,NA,"70-79","Female",3420,"70+"
"S0162",45,NA,"30-39","Female",10286,"30-39"
"S0163",0,NA,"60-69","Female",643,"60-69"
"S0164",0,NA,"30-39","Male",683,"30-39"
"S0165",1,NA,"19-29","Female",648,"20-29"
"S0166",0,NA,"50-59","Female",835,"50-59"
"S0167",92,24,"19-29","Female",56570,"20-29"
"S0168",1,NA,"19-29","Female",441,"20-29"
"S0169",5,NA,"30-39","Male",3271,"30-39"
"S0170",9,NA,"30-39","Female",12958,"30-39"
"S0171",25,NA,"19-29","Female",7720,"20-29"
"S0172",10,NA,"60-69","Female",6642,"60-69"
"S0173",23,NA,"19-29","Female",9440,"20-29"
"S0174",2,NA,"60-69","Male",1003,"60-69"
"S0175",7,35,"30-39","Female",3727,"30-39"
"S0176",1,50,"50-59","Female",1848,"50-59"
"S0177",5,NA,"19-29","Male",2347,"20-29"
"S0178",0,NA,"11-18","Female",585,"10-19"
"S0179",429,23,"19-29","Male",96053,"20-29"
"S0180",20,37,"30-39","Male",21640,"30-39"
"S0181",15,NA,"30-39","Male",3537,"30-39"
"S0182",16,NA,"19-29","Female",2721,"20-29"
"S0183",8,NA,"30-39","Female",3360,"30-39"
"S0184",0,23,"19-29","Male",2724,"20-29"
"S0185",0,52,"50-59","Male",1822,"50-59"
"S0186",7,32,"30-39","Male",2125,"30-39"
"S0187",22,21,"19-29","Male",14558,"20-29"
"S0188",2,20,"19-29","Male",4723,"20-29"
"S0189",30,24,"19-29","Male",18023,"20-29"
"S0190",6,55,"50-59","Female",24564,"50-59"
"S0191",0,5,"0-10","Male",1621,"0-9"
"S0192",481,28,"19-29","Male",362107,"20-29"
"S0193",3,55,"50-59","Female",12395,"50-59"
"S0194",24,34,"30-39","Female",11835,"30-39"
"S0195",17,28,"19-29","Male",5598,"20-29"
"S0196",11,31,"30-39","Female",10981,"30-39"
"S0197",15,51,"50-59","Male",17059,"50-59"
"S0198",252,27,"19-29","Female",164818,"20-29"
"S0199",25,52,"50-59","Female",52249,"50-59"
"S0200",2,21,"19-29","Male",2773,"20-29"
"S0201",1,20,"19-29","Male",564,"20-29"
"S0202",111,23,"19-29","Female",117720,"20-29"
"S0203",6,19,"19-29","Male",19895,"10-19"
"S0204",13,20,"19-29","Female",12326,"20-29"
"S0205",5,20,"19-29","Female",7688,"20-29"
"S0206",15,20,"19-29","Female",10286,"20-29"
"S0207",23,21,"19-29","Female",8995,"20-29"
"S0208",140,19,"19-29","Female",63967,"10-19"
"S0209",3,21,"19-29","Female",1501,"20-29"
"S0210",2,20,"19-29","Female",2053,"20-29"
"S0211",18,22,"19-29","Female",14901,"20-29"
"S0212",1,20,"19-29","Female",4167,"20-29"
"S0213",1,21,"19-29","Female",604,"20-29"
"S0214",3,48,"40-49","Male",1833,"40-49"
"S0215",0,43,"40-49","Female",581,"40-49"
"S0216",10,22,"19-29","Female",11012,"20-29"
"S0217",0,23,"19-29","Male",427,"20-29"
"S0218",4,28,"19-29","Male",3917,"20-29"
"S0219",3,22,"19-29","Female",3608,"20-29"
"S0220",16,22,"19-29","Female",14393,"20-29"
"S0221",24,19,"19-29","Male",9056,"10-19"
"S0222",9,20,"19-29","Female",11380,"20-29"
"S0223",7,42,"19-29","Female",2449,"40-49"
"S0224",4,20,"19-29","Male",856,"20-29"
"S0225",0,49,"40-49","Male",229,"40-49"
"S0227",77,54,"50-59","Male",81006,"50-59"
"S0228",19,28,"19-29","Male",15015,"20-29"
"S0229",4,69,"60-69","Male",21996,"60-69"
"S0230",19,57,"50-59","Female",23145,"50-59"
"S0231",4,36,"30-39","Male",7613,"30-39"
"S0232",2,33,"30-39","Female",6738,"30-39"
"S0233",26,27,"19-29","Female",8446,"20-29"
"S0234",35,28,"19-29","Male",8678,"20-29"
"S0235",44,27,"19-29","Female",36352,"20-29"
"S0236",10,28,"19-29","Male",15999,"20-29"
"S0237",5,21,"19-29","Female",7875,"20-29"
"S0238",160,52,"50-59","Female",40385,"50-59"
"S0239",19,39,"30-39","Female",8275,"30-39"
"S0240",17,55,"50-59","Female",8597,"50-59"
"S0241",69,49,"40-49","Female",15117,"40-49"
"S0242",0,69,"60-69","Male",3006,"60-69"
"S0243",2,83,"80-89","Female",3460,"70+"
"S0244",0,21,"19-29","Male",3881,"20-29"
"S0245",5,21,"19-29","Male",11625,"20-29"
"S0246",53,21,"19-29","Female",23793,"20-29"
