date	location	R	N
1	1	12	21
1	1	8	12
1	2	7	9
1	2	8	12
1	2	5	15
1	2	21	23
1	2	15	15
1	2	10	11
1	3	25	29
1	3	23	25
1	3	15	17
1	3	9	11
1	5	5	9
1	5	7	13
1	5	2	9
1	5	6	6
1	5	15	26
1	5	4	5
1	5	4	7
1	5	6	7
2	1	32	34
2	1	16	19
2	1	15	20
2	1	13	21
2	1	19	24
2	1	15	18
2	1	22	29
2	1	9	11
2	1	13	15
2	1	6	8
2	1	12	13
2	1	10	14
2	3	17	18
2	3	27	33
2	3	17	19
2	3	11	12
2	3	5	5
2	3	8	13
2	3	10	12
2	3	16	22
2	3	13	20
2	3	15	17
2	5	11	12
2	5	12	13
2	5	11	12
2	5	28	41
2	5	10	15
2	5	3	9
2	5	11	12
2	5	8	11
2	5	12	12
2	5	7	8
2	5	11	13
2	5	11	17
2	5	11	11
2	5	12	12
2	5	6	6
2	5	6	12
2	5	10	18
2	5	17	21
2	5	13	17
3	2	20	22
3	2	18	21
3	2	12	14
3	2	12	13
3	2	18	20
3	2	14	17
3	2	14	16
3	2	22	22
3	2	15	16
3	2	13	19
3	4	31	33
3	4	11	13
3	4	32	42
3	4	9	11
3	4	63	76
3	4	25	31
3	4	7	7
3	4	10	10
3	4	6	7
3	5	23	24
3	5	6	9
3	5	21	24
3	5	21	24
3	5	10	15
3	5	20	25
3	5	18	21
3	5	33	33
