speaker	gender	age_group	count	total	rate_pmw
S0001	Female	30-39	6	3000	2000
S0002	Female	19-29	21	8535	2460.456942003515
S0003	Female	19-29	8	1893	4226.096143687269
S0004	Male	30-39	1	3634	275.178866263071
S0005	Female	80-89	3	1449	2070.393374741201
S0006	Male	80-89	1	4804	208.15986677768527
S0007	Male	19-29	6	11276	532.1035828307911
S0008	Male	60-69	101	139888	722.0061763696672
S0009	Female	19-29	0	533	0
S0010	Male	30-39	7	3105	2254.4283413848634
S0011	Female	19-29	0	473	0
S0012	Male	70-79	69	277953	248.24340805819688
S0013	Female	60-69	163	127773	1275.6998739952887
S0014	Female	30-39	15	5487	2733.7342810278838
S0015	Female	60-69	21	29651	708.2391824896293
S0016	Female	19-29	1	605	1652.892561983471
S0017	Male	70-79	4	7377	542.225837061136
S0018	Female	30-39	183	107906	1695.920523418531
S0019	Female	60-69	19	23328	814.4718792866942
S0020	Male	30-39	1	885	1129.9435028248588
S0021	Female	19-29	21	8209	2558.1678645389206
S0022	Female	30-39	4	7163	558.4252408208852
S0023	Male	40-49	12	6704	1789.9761336515514
S0024	Female	30-39	127	181562	699.4855751754221
S0025	Female	30-39	8	5618	1423.994304022784
S0026	Male	19-29	39	13449	2899.8438545616777
S0027	Male	40-49	2	1856	1077.5862068965516
S0028	Female	19-29	1	417	2398.0815347721823
S0029	Female	19-29	0	304	0
S0030	Female	40-49	20	2622	7627.765064836003
S0031	Male	19-29	0	928	0
S0032	Male	19-29	8	6867	1164.991990680064
S0033	Male	19-29	1	6499	153.86982612709647
S0034	Male	19-29	14	4974	2814.6361077603538
S0035	Female	30-39	9	2101	4283.674440742504
S0036	Female	40-49	16	11169	1432.5364849136001
S0037	Female	19-29	112	108664	1030.7001398807333
S0038	Male	50-59	12	6147	1952.1717911176183
S0039	Male	30-39	0	228	0
S0040	Male	30-39	3	4154	722.1954742416948
S0041	Female	19-29	314	208025	1509.433962264151
S0042	Female	19-29	0	372	0
S0043	Female	40-49	2	2453	815.3281695882592
S0044	Female	19-29	1	829	1206.2726176115802
S0045	Male	19-29	2	228	8771.929824561403
S0046	Male	19-29	18	17404	1034.245001149161
S0047	Male	60-69	14	9570	1462.9049111807733
S0048	Female	40-49	0	541	0
S0049	Female	19-29	5	14159	353.1322833533442
S0050	Female	19-29	5	7233	691.2760956726116
S0051	Male	19-29	0	624	0
S0052	Female	30-39	4	2223	1799.370220422852
S0053	Female	19-29	0	117	0
S0054	Male	19-29	12	5753	2085.8682426560053
S0055	Female	19-29	0	1312	0
S0056	Male	50-59	3	1108	2707.581227436823
S0057	Female	19-29	7	4034	1735.2503718393652
S0058	Female	19-29	331	144725	2287.096216963206
S0059	Female	19-29	0	1066	0
S0060	Male	30-39	24	15944	1505.2684395383844
S0061	Male	19-29	1	982	1018.3299389002036
S0062	Male	30-39	8	2588	3091.1901081916535
S0063	Male	40-49	2	2682	745.7121551081282
S0064	Female	19-29	3	1387	2162.9416005767844
S0065	Female	30-39	4	2176	1838.235294117647
S0067	Male	40-49	0	621	0
S0068	Male	40-49	0	2250	0
S0069	Female	19-29	1	574	1742.1602787456445
S0070	Male	40-49	12	18168	660.5019815059445
S0071	Female	30-39	1	1301	768.6395080707148
S0072	Male	19-29	2	2618	763.9419404125287
S0073	Male	30-39	10	6934	1442.169022209403
S0074	Female	60-69	9	8582	1048.7065951992543
S0075	Male	40-49	9	2610	3448.2758620689656
S0076	Female	19-29	3	1353	2217.2949002217297
S0077	Female	19-29	0	867	0
S0078	Male	19-29	3	3389	885.2168781351431
S0079	Male	30-39	6	1215	4938.271604938272
S0080	Male	19-29	2	1079	1853.5681186283596
S0081	Male	30-39	1	1740	574.7126436781609
S0082	Male	60-69	29	22995	1261.1437268971515
S0083	Female	60-69	76	44214	1718.9125616320623
S0084	Female	19-29	533	276558	1927.262997273628
S0085	Female	19-29	2	2835	705.4673721340389
S0086	Male	19-29	108	49319	2189.8254222510595
S0087	Male	40-49	1	1393	717.8750897343863
S0088	Female	40-49	2	1738	1150.7479861910242
S0089	Male	19-29	0	1653	0
S0090	Female	19-29	0	1975	0
S0091	Male	90-99	1	2084	479.84644913627636
S0092	Male	50-59	2	11098	180.21265092809517
S0093	Male	40-49	55	14482	3797.817980941859
S0094	Female	30-39	20	10851	1843.14809694959
S0095	Male	30-39	4	4800	833.3333333333334
S0096	Female	30-39	5	2261	2211.4108801415305
S0097	Male	30-39	5	4159	1202.212070209185
S0098	Male	19-29	4	808	4950.495049504951
S0099	Male	19-29	3	861	3484.320557491289
S0100	Female	19-29	2	1135	1762.114537444934
S0101	Male	19-29	0	1254	0
S0102	Male	11-18	0	968	0
S0103	Male	70-79	1	7029	142.2677479015507
S0104	Female	40-49	67	56732	1180.991327645773
S0105	Male	30-39	2	917	2181.0250817884407
S0106	Male	19-29	2	911	2195.3896816684965
S0107	Male	50-59	2	279	7168.458781362007
S0108	Female	19-29	2	2956	676.5899864682003
S0109	Female	19-29	17	8152	2085.377821393523
S0110	Male	50-59	4	8362	478.35446065534563
S0113	Male	19-29	0	750	0
S0114	Female	70-79	3	2497	1201.4417300760913
S0115	Male	30-39	298	111897	2663.1634449538415
S0116	Female	19-29	0	1425	0
S0117	Female	19-29	1	378	2645.5026455026455
S0118	Male	30-39	1	1067	937.2071227741332
S0119	Male	19-29	18	5117	3517.6861442251316
S0120	Male	19-29	29	15668	1850.906305846311
S0122	Male	19-29	0	1176	0
S0123	Male	19-29	14	8757	1598.7210231814547
S0125	Female	30-39	5	3972	1258.811681772407
S0126	Female	60-69	1	1042	959.6928982725527
S0127	Male	19-29	8	2393	3343.0839949853744
S0128	Male	19-29	1	949	1053.740779768177
S0129	Male	30-39	2	2630	760.4562737642585
S0130	Male	19-29	8	1912	4184.100418410041
S0131	Female	50-59	90	12671	7102.833241259569
S0132	Female	19-29	9	3256	2764.127764127764
S0133	Female	19-29	2	1825	1095.890410958904
S0134	Female	19-29	5	1138	4393.673110720562
S0135	Female	19-29	23	16145	1424.589656240322
S0136	Female	19-29	18	3627	4962.779156327543
S0137	Male	19-29	0	699	0
S0138	Male	50-59	7	3706	1888.8289260658391
S0139	Female	19-29	0	2192	0
S0140	Female	11-18	5	3121	1602.0506247997437
S0141	Female	30-39	0	1706	0
S0142	Male	60-69	2	14811	135.0347714536493
S0143	Female	60-69	1	2073	482.392667631452
S0144	Male	30-39	119	144222	825.1168337701599
S0145	Female	19-29	6	2049	2928.2576866764275
S0146	Female	30-39	80	18077	4425.513082923051
S0147	Female	50-59	7	2490	2811.244979919679
S0148	Female	19-29	2	1334	1499.2503748125937
S0149	Female	19-29	4	2531	1580.4030027657052
S0150	Female	50-59	4	863	4634.994206257242
S0151	Male	19-29	23	4509	5100.909292526058
S0152	Male	50-59	84	128107	655.7018742145237
S0153	Female	11-18	6	8406	713.7758743754462
S0154	Female	11-18	25	15715	1590.8367801463571
S0155	Male	40-49	1	1275	784.313725490196
S0156	Female	19-29	0	122	0
S0157	Female	19-29	9	3314	2715.751357875679
S0158	Male	50-59	5	2731	1830.831197363603
S0159	Male	19-29	0	497	0
S0160	Female	19-29	0	373	0
S0161	Female	70-79	6	3420	1754.3859649122808
S0162	Female	30-39	45	10286	4374.8784755979
S0163	Female	60-69	0	643	0
S0164	Male	30-39	0	683	0
S0165	Female	19-29	1	648	1543.2098765432097
S0166	Female	50-59	0	835	0
S0167	Female	19-29	92	56570	1626.303694537741
S0168	Female	19-29	1	441	2267.573696145125
S0169	Male	30-39	5	3271	1528.584530724549
